split,image,label,width,height,brightness,contrast,laplacian_var,laplacian_var_after_gaussian,tenengrad,reasons
train,images/train/nhanxet/1114_hocba_lop11_nhanxet_ketqua_xeploai_7169a76e-9c8d-4f4d-9d60-09017001ee59_cell000.jpg,Giỏi,37,25,148.2172972972973,12.568313793596857,237.65687772096422,58.83494521548577,4461.978378378379,low_laplacian_blur_score
train,images/train/nhanxet/1114_hocba_lop11_nhanxet_ketqua_xeploai_7169a76e-9c8d-4f4d-9d60-09017001ee59_cell003.jpg,Tốt,27,27,141.13443072702333,13.636010271199472,321.9006587749157,73.21533340483704,5338.84499314129,low_laplacian_blur_score
train,images/train/hoctap/759_hocba_lop11_hoctap_bang_diemtrungbinh_80ad7918-9e70-40dd-b92d-0808453e3957_cell042.jpg,"7,7",68,41,68.80021520803443,8.522813504085462,158.56059518761487,24.553739741338674,1831.8766140602584,low_laplacian_blur_score|low_contrast
train,images/train/hoctap/759_hocba_lop11_hoctap_bang_diemtrungbinh_80ad7918-9e70-40dd-b92d-0808453e3957_cell043.jpg,"7,5",77,48,73.28436147186147,9.380458527688527,153.75082391341525,23.471755764978163,1690.1688311688313,low_laplacian_blur_score|low_contrast
train,images/train/hoctap/759_hocba_lop11_hoctap_bang_diemtrungbinh_80ad7918-9e70-40dd-b92d-0808453e3957_cell044.jpg,"7,6",57,58,83.04930429522081,10.202708965559005,277.4603450654716,41.32771155416338,3041.818511796733,low_laplacian_blur_score|low_contrast
train,images/train/nhanxet/1352_hocba_lop11_nhanxet_nhanxet_giaovien_b5da5a44-317d-4811-9b9a-76761e67dc86_cell000.jpg,"- Chăm, ý thức học tập tốt",253,38,162.1046390680258,11.462580709032519,253.0980622249754,43.81287678381793,3200.4849178281675,low_laplacian_blur_score|low_contrast
train,images/train/hoctap/1423_hocba_lop11_hoctap_bang_diemtrungbinh_f921dc54-5c86-40ed-b8bd-9af87b50366b_cell038.jpg,"8,5",102,37,152.32909379968203,12.415088021135722,331.49784309232075,46.76453625607277,3350.371489136195,low_laplacian_blur_score
train,images/train/hoctap/1423_hocba_lop11_hoctap_bang_diemtrungbinh_f921dc54-5c86-40ed-b8bd-9af87b50366b_cell039.jpg,"9,2",106,37,153.2797042325344,10.933438275699638,285.2850251630403,41.08582452156677,2990.0438551759307,low_laplacian_blur_score|low_contrast
train,images/train/hoctap/1423_hocba_lop11_hoctap_bang_diemtrungbinh_f921dc54-5c86-40ed-b8bd-9af87b50366b_cell040.jpg,"9,0",92,36,157.26268115942028,12.825584280455049,335.43339401152883,53.74204765572125,3912.1564009661834,low_laplacian_blur_score
train,images/train/hoctap/1423_hocba_lop11_hoctap_bang_diemtrungbinh_f921dc54-5c86-40ed-b8bd-9af87b50366b_cell041.jpg,"8,1",105,47,147.77912867274568,14.691734474008525,305.68540062350576,76.35643261076876,5586.210739614995,low_laplacian_blur_score
train,images/train/nhanxet/137_hocba_lop12_nhanxet_huyen_290d3b77-00cb-40da-af4e-b4665b8113ba_cell000.jpg,Quảng Điền,114,36,183.82041910331384,14.678562500984473,244.4422613771949,55.448288694717085,4527.214912280701,low_laplacian_blur_score
train,images/train/nhanxet/530_hocba_lop10_nhanxet_ketqua_xeploai_c1822e62-404c-490c-8283-dc1f5fb490be_cell003.jpg,Giỏi,53,34,173.01276359600445,10.071792966557904,264.623441274401,33.340701723698295,2335.9778024417315,low_laplacian_blur_score|low_contrast
train,images/train/nhanxet/137_hocba_lop12_nhanxet_giaithuong_caphuyen_4b8b1951-a88c-4901-9fd4-88a91bfc61c7_cell000.jpg,môn Hóa Học cấp Tỉnh,293,43,175.25406778315738,14.819558473864047,282.70388757409285,64.83305854271994,5020.731486625923,low_laplacian_blur_score
train,images/train/nhanxet/219_hocba_lop12_nhanxet_nhanxet_giaovien_822765d4-d01b-4727-ab6e-7c1d1911d304_cell000.jpg,"- Học giỏi, chăm ngoan",304,45,162.73026315789474,19.075838701167772,342.0834787626962,103.4332268849817,8279.889766081871,low_laplacian_blur_score
